user_id,test_group,bucketed_at
8be9091675a4b9d8ef3dcf4dc2cdb517,control,2022-06-07 10:34:34.538675
86114fd22913abba540bc89ae82eff6a,test,2022-06-04 21:15:40.014207
00c18b85d828de821f5fac14b067faa6,test,2022-06-06 05:52:42.131874
0bd6d47e0a400c408a7052d23f25b1fb,control,2022-06-07 23:12:34.291075
68c08cfa162896788ed0c3ceadf27db5,test,2022-06-01 23:26:30.600857
56c5775c8639fb4c17e348994c47f212,test,2022-06-09 06:17:48.432086
5cdcb6878d072980516ef5e289ac31ab,test,2022-06-07 09:07:48.474617
dd7e8902aa2a7419a96ec9ee73878437,control,2022-06-03 12:50:28.172417
2f0f2821a497a3302c8ac10bf213bfe1,control,2022-06-09 00:32:09.122419
417aefc536b328422a92cbc0008d3d8a,control,2022-06-02 19:21:03.733738
dffaa7cb7dca1e179c7bb5d3ac1d980d,test,2022-06-03 01:19:05.474722
5ca254f868324729bacff1fee3ce9a64,test,2022-06-07 04:02:51.450065
43f11f15a11844a90e231d6a09b8da68,control,2022-06-08 10:50:54.067308
278245426b6a1045d4783c56296cb773,control,2022-06-04 08:02:57.854880
554cbe211d4ca93d27b1386742b49d50,test,2022-06-01 08:41:06.645826
9f0eede9fe34feb5a870878766e79eac,control,2022-06-09 12:15:01.765978
7fd315e8fe2877d991662335a0ccd261,control,2022-06-02 07:52:28.025098
2ba8d78c00f6a0d4c4cbeeb39c08d352,test,2022-06-04 01:46:33.099878
471127a5b3137f61bb73f9c5a3b326b5,test,2022-06-03 13:45:08.452628
af813f43164306f01e4454d3bb534976,control,2022-06-03 12:04:58.463052
4655196a3d9b7629b3d3c4130dc488e1,test,2022-06-08 15:38:22.829512
3ea619c8616d0789d67365286cac7d82,control,2022-06-07 21:59:33.113461
b75dd0a0f5a6372d8a0119627b37a85e,control,2022-06-03 14:23:47.350168
e44a8526272b89c647008cc8a156688a,test,2022-06-06 05:38:27.542822
968f1af93a7462b14e0d8e1d956413ec,control,2022-06-04 21:53:45.464119
7b8dd8456273ab7b03adc779e7ae7430,control,2022-06-08 08:23:17.036092
